sys i itr dvfs rapl read_5th read_10th read_50th read_90th read_95th read_99th measure_QPS target_QPS time joules rx_desc rx_bytes tx_desc tx_bytes instructions ref_cycles num_interrupts
linux_tuned 2 1 0x1d00 135 50.5 54.2 83.0 171.2 209.6 399.4 1099445.5 1100000 20.01 3164.44 23351325 3969789309 65064504 5254651343 413718589774.0 795885120848.0 314678
linux_tuned 0 1 0x1d00 135 51.8 56.3 95.4 191.7 244.3 492.0 1149528.3 1150000 20.01 3161.6 24496609 4157347237 67722881 5504878120 424077660850.0 795631490850.0 314181
linux_tuned 1 1 0x1d00 135 51.8 56.2 95.3 188.7 241.8 473.6 1150151.6 1150000 20.01 3166.79 24509647 4159541923 67772480 5503621047 423947924326.0 795104950784.0 314234
linux_tuned 2 1 0x1d00 135 51.8 56.3 97.0 190.1 240.4 485.2 1150330.4 1150000 20.01 3160.9 24515452 4160542897 67761198 5499409876 424611480573.0 794206180029.0 314069
linux_tuned 0 1 0x1d00 135 52.9 58.3 111.6 206.2 271.3 554.3 1199699.3 1200000 20.01 3152.25 25655054 4343627498 70343433 5732429507 433650145084.0 790102733476.0 312961
linux_tuned 1 1 0x1d00 135 52.9 58.2 110.9 207.4 270.9 544.7 1199549.0 1200000 20.0 3150.83 25658786 4343874466 70346043 5732529265 433701465996.0 789335622518.0 312778
linux_tuned 2 1 0x1d00 135 54.5 59.9 113.3 206.4 269.1 525.4 1200161.5 1200000 20.01 3148.21 25677584 4344269409 70389745 5728477797 433229667438.0 787027639103.0 312560
linux_tuned 0 1 0x1d00 135 55.6 62.9 125.4 229.6 314.5 651.5 1248974.8 1250000 20.01 3149.09 26804344 4528061473 72859080 5967799747 443114094424.0 786451017197.0 311838
linux_tuned 1 1 0x1d00 135 55.7 63.1 125.9 227.8 303.6 600.7 1249290.9 1250000 20.01 3148.98 26819449 4529728528 72874963 5967217712 443246701812.0 785293521028.0 311941
linux_tuned 2 1 0x1d00 135 55.0 62.0 124.4 226.2 298.2 617.4 1250040.7 1250000 20.01 3148.23 26839485 4533061677 72957046 5978299838 443783080670.0 785268726666.0 311466
linux_tuned 0 1 0x1d00 135 58.4 69.2 136.6 248.5 340.3 724.7 1299791.4 1300000 20.01 3147.91 27999145 4718718460 75443269 6190699187 452969789014.0 784470785866.0 310491
linux_tuned 1 1 0x1d00 135 57.9 67.8 134.1 248.4 341.8 701.1 1299642.5 1300000 20.01 3154.88 27996123 4717861980 75457934 6212326439 454041698268.0 787362393962.0 310595
linux_tuned 2 1 0x1d00 135 58.1 69.2 137.0 259.8 362.1 709.4 1299726.7 1300000 20.01 3153.38 27993348 4717380078 75402041 6200937709 454091455414.0 787254255456.0 311353
linux_tuned 0 1 0x1d00 135 61.9 75.4 145.3 297.4 431.1 874.1 1349607.5 1350000 20.01 3168.06 29132053 4902581456 77735128 6432605244 464184199726.0 793041710056.0 310476
linux_tuned 1 1 0x1d00 135 61.8 75.3 145.8 290.3 415.9 845.8 1349784.6 1350000 20.01 3162.08 29146233 4906785675 77744088 6442527609 464107949258.0 790672775485.0 310033
linux_tuned 2 1 0x1d00 135 62.3 75.8 145.9 297.5 428.3 857.1 1350313.9 1350000 20.01 3163.76 29155963 4906965092 77747699 6435524224 464613589083.0 792520912338.0 310528
linux_tuned 0 1 0x1d00 135 67.7 81.8 156.2 349.8 508.5 998.4 1399738.0 1400000 20.01 3178.75 30273075 5089505311 79904212 6661290341 474924545082.0 801227181906.0 310078
linux_tuned 1 1 0x1d00 135 66.9 81.6 154.8 339.1 500.6 1006.6 1399414.0 1400000 20.01 3177.03 30274560 5089232029 79964472 6670054719 474706244965.0 799128757015.0 310077
linux_tuned 2 1 0x1d00 135 67.8 82.4 156.0 351.5 515.6 1013.4 1399715.5 1400000 20.01 3176.92 30268466 5091355256 79887412 6664317746 474442902580.0 801058683380.0 310205
