sys msg i itr dvfs time pk0j joules ins cyc refcyc llcmiss c7 num_interrupts
ebbrt_tuned 64 0 6 0x1700 0.177283 3.103441 4.389127 26114640 236106363 412500669 606791 7272 7286
ebbrt_tuned 64 1 6 0x1700 0.177463 3.100847 4.418411 26116915 236726193 412814333 605873 7291 7300
ebbrt_tuned 64 0 6 0x1500 0.174186 3.049955 4.068469 26131532 223214441 403259790 559672 6719 7475
ebbrt_tuned 64 1 6 0x1500 0.174338 3.032406 4.066348 26127424 222599736 403001748 561315 6700 7472
ebbrt_tuned 64 0 6 0x1300 0.139769 2.436930 3.175865 26325252 209635252 349842080 521146 6189 9078
ebbrt_tuned 64 1 6 0x1300 0.137894 2.399681 3.104083 26331676 207607347 345784313 515768 6104 9115
ebbrt_tuned 64 0 6 0x1100 0.117744 2.068829 2.551213 26426254 184259124 314744830 433618 5113 9985
ebbrt_tuned 64 1 6 0x1100 0.116722 2.033410 2.530825 26426825 183080274 312481206 428985 5031 9994
ebbrt_tuned 64 0 6 0xf00 0.160402 2.802575 3.219479 26145307 181770490 385684717 430465 5038 7817
ebbrt_tuned 64 1 6 0xf00 0.160310 2.803949 3.212505 26146726 181678747 385654151 427980 5038 7829
ebbrt_tuned 64 0 6 0xd00 0.176513 3.084168 3.353553 25851744 180402932 418056257 426121 5032 5515
ebbrt_tuned 64 1 6 0xd00 0.175763 3.066421 3.336218 25876845 180236424 417352427 425425 5026 5725
ebbrt_tuned 64 0 6 0xc00 0.158082 2.751103 2.946813 25787978 175212568 423471253 427869 5026 5031
ebbrt_tuned 64 1 6 0xc00 0.158463 2.768042 2.947332 25787946 175672825 424577052 425214 5022 5050
ebbrt_tuned 8192 0 6 0x1d00 0.202132 3.528219 5.756957 137048361 181782561 303434337 230578 15818 21295
ebbrt_tuned 8192 1 6 0x1d00 0.202320 3.531240 5.777986 137123016 182045311 303742404 236909 15794 21359
ebbrt_tuned 8192 0 6 0x1b00 0.203424 3.566048 5.449178 137374416 181066292 303878240 234629 15508 21064
ebbrt_tuned 8192 1 6 0x1b00 0.202884 3.549324 5.423206 137223533 180796642 304820160 232471 15596 21062
ebbrt_tuned 8192 0 6 0x1900 0.206093 3.600033 5.178878 137401460 179939311 308559246 232344 15647 20959
ebbrt_tuned 8192 1 6 0x1900 0.205702 3.599621 5.173964 137460741 180415649 308311934 233647 15630 21005
ebbrt_tuned 8192 0 6 0x1700 0.214909 3.759027 5.210787 137233451 203273990 354332034 368938 14752 20088
ebbrt_tuned 8192 1 6 0x1700 0.211434 3.687945 5.095406 137287034 186723571 327774327 274544 15365 20656
ebbrt_tuned 8192 0 6 0x1500 0.253165 4.423294 6.064263 136308124 367021359 621355102 1452355 10729 16468
ebbrt_tuned 8192 1 6 0x1500 0.253192 4.423218 6.087504 136321016 368497222 621630834 1459986 10767 16510
ebbrt_tuned 8192 0 6 0x1300 0.249538 4.369396 5.734022 136335078 375759120 633807557 1352125 9866 16666
ebbrt_tuned 8192 1 6 0x1300 0.249524 4.353236 5.729459 136350114 375924998 633932460 1358367 9926 16702
ebbrt_tuned 8192 0 6 0x1100 0.217571 3.809781 4.760647 136380719 346378199 594114358 1481415 10882 17633
ebbrt_tuned 8192 1 6 0x1100 0.220645 3.845520 4.826250 136400145 351274671 602301174 1482313 10964 17791
ebbrt_tuned 8192 0 6 0xf00 0.258504 4.528970 5.254919 136188154 313162151 649834378 1334627 9381 15921
ebbrt_tuned 8192 1 6 0xf00 0.259814 4.544932 5.247273 136177556 314632058 652822770 1338860 9398 15885
ebbrt_tuned 8192 0 6 0xd00 0.272529 4.756222 5.204469 135881636 287493645 664245522 1127041 7053 13245
ebbrt_tuned 8192 1 6 0xd00 0.271573 4.754955 5.185546 135894922 286837311 662471795 1088192 6997 13191
ebbrt_tuned 8192 0 6 0xc00 0.251378 4.389402 4.723306 135824620 287028033 693678753 1189760 7978 13666
ebbrt_tuned 8192 1 6 0xc00 0.250747 4.387769 4.720635 135786620 286283459 691877853 1188565 7811 13448
ebbrt_tuned 64 0 8 0x1d00 0.115740 2.014808 2.503663 26484092 64323953 121752005 35114 9439 9901
ebbrt_tuned 64 1 8 0x1d00 0.116127 2.013237 2.474592 26495761 65293233 121367958 32956 9626 9935
ebbrt_tuned 64 0 8 0x1b00 0.115790 2.014137 2.524935 26495753 66770432 126133876 40690 9657 9971
ebbrt_tuned 64 1 8 0x1b00 0.117206 2.032663 2.572897 26497359 65096171 125164029 33112 9668 9981
ebbrt_tuned 64 0 8 0x1900 0.138180 2.398933 3.272248 26377815 119252373 214938488 212324 8957 9148
ebbrt_tuned 64 1 8 0x1900 0.172468 3.009348 4.468266 26102028 234925973 401622392 601531 7188 7237
ebbrt_tuned 64 0 8 0x1700 0.177464 3.100039 4.422043 26112167 236845116 412488141 608723 7292 7308
ebbrt_tuned 64 1 8 0x1700 0.177866 3.099871 4.417953 26111464 236607441 412821322 605692 7281 7303
ebbrt_tuned 64 0 8 0x1500 0.174331 3.048918 4.091130 26123388 222943026 403167976 558658 6700 7472
ebbrt_tuned 64 1 8 0x1500 0.173842 3.028790 4.070422 26123547 222185558 402034917 559367 6680 7477
ebbrt_tuned 64 0 8 0x1300 0.140039 2.433680 3.199335 26323893 209836647 350246659 524943 6230 9082
ebbrt_tuned 64 1 8 0x1300 0.136349 2.363255 3.106692 26327894 206103324 342415557 511476 6066 9142
ebbrt_tuned 64 0 8 0x1100 0.116553 2.031961 2.528491 26417317 182559517 311873946 428699 5063 9984
ebbrt_tuned 64 1 8 0x1100 0.116408 2.032357 2.530230 26418461 182560858 311640496 426143 5062 9993
ebbrt_tuned 64 0 8 0xf00 0.160577 2.801721 3.216655 26135285 181642613 385710411 426658 5038 7801
ebbrt_tuned 64 1 8 0xf00 0.160120 2.799920 3.198557 26145106 181823709 385123364 426246 5039 7877
ebbrt_tuned 64 0 8 0xd00 0.175854 3.061965 3.332067 25798340 179947703 416869490 426314 5024 5192
ebbrt_tuned 64 1 8 0xd00 0.175966 3.064467 3.333227 25808404 179905336 416807198 428291 5025 5251
ebbrt_tuned 64 0 8 0xc00 0.158125 2.748784 2.964286 25781134 175256823 423577190 426278 5022 5040
ebbrt_tuned 64 1 8 0xc00 0.158103 2.748524 2.963752 25782809 175223963 423505415 428321 5024 5034
ebbrt_tuned 8192 0 8 0x1d00 0.215715 3.770136 6.088099 136999421 188492892 313588194 235235 16804 20676
ebbrt_tuned 8192 1 8 0x1d00 0.215088 3.754372 6.059380 136982896 188317660 312376313 235287 16693 20580
ebbrt_tuned 8192 0 8 0x1b00 0.215042 3.754998 5.705607 137047983 184663270 310789549 235141 15965 20332
ebbrt_tuned 8192 1 8 0x1b00 0.215422 3.752358 5.705470 137064012 184779560 312268027 231833 16140 20427
ebbrt_tuned 8192 0 8 0x1900 0.218460 3.823271 5.468635 137027466 181517832 313948606 234756 15450 20299
ebbrt_tuned 8192 1 8 0x1900 0.217989 3.806897 5.471427 136994001 181237286 314109614 218080 15426 20325
ebbrt_tuned 8192 0 8 0x1700 0.235867 4.122260 5.767349 136741748 255932612 440657001 691627 12879 18111
ebbrt_tuned 8192 1 8 0x1700 0.223377 3.910833 5.352338 136935417 188907522 337173198 287630 15088 20292
ebbrt_tuned 8192 0 8 0x1500 0.263080 4.593520 6.293530 137476669 377687453 637558388 1528249 11630 17362
ebbrt_tuned 8192 1 8 0x1500 0.266148 4.643633 6.355012 137217948 375908431 641102043 1517717 11533 17297
ebbrt_tuned 8192 0 8 0x1300 0.253201 4.414794 5.849341 137969075 415896401 663013428 1555262 11973 19652
ebbrt_tuned 8192 1 8 0x1300 0.251152 4.380475 5.804736 138653647 410417323 655925654 1497957 11315 19178
ebbrt_tuned 8192 0 8 0x1100 0.266380 4.659702 5.814182 137761776 423443425 723326932 1665051 13101 19642
ebbrt_tuned 8192 1 8 0x1100 0.267295 4.679342 5.830328 137739383 424954420 725880498 1686501 13306 19768
ebbrt_tuned 8192 0 8 0xf00 0.272055 4.754039 5.510890 136270956 327263387 678288163 1368888 9718 16274
ebbrt_tuned 8192 1 8 0xf00 0.277650 4.859501 5.630558 136309108 330636341 687796393 1382039 9908 16325
ebbrt_tuned 8192 0 8 0xd00 0.311200 5.435582 5.933989 136291970 322667171 746600186 1505258 11456 16785
ebbrt_tuned 8192 1 8 0xd00 0.312021 5.435460 5.954086 136282744 323053963 747661180 1524608 11470 16789
ebbrt_tuned 8192 0 8 0xc00 0.280712 4.913064 5.277885 136473029 322145907 778545774 1626002 12628 18232
ebbrt_tuned 8192 1 8 0xc00 0.282437 4.944744 5.297967 136522776 324179550 783461535 1655392 12922 18471
ebbrt_tuned 64 0 10 0x1d00 0.117085 2.030511 2.548710 26493069 65333441 122634098 35231 9678 9913
ebbrt_tuned 64 1 10 0x1d00 0.118963 2.082822 2.609445 26492588 65548379 122927665 32991 9743 9933
ebbrt_tuned 64 0 10 0x1b00 0.117316 2.047404 2.604851 26491791 68430881 129734284 46230 9644 9942
ebbrt_tuned 64 1 10 0x1b00 0.116049 2.030999 2.531100 26495048 66088728 125558110 37325 9599 9971
ebbrt_tuned 64 0 10 0x1900 0.172289 3.010432 4.495016 26101576 234819180 401700895 600721 7181 7241
ebbrt_tuned 64 1 10 0x1900 0.172700 3.010096 4.481664 26097203 233632137 402145001 594485 7125 7202
ebbrt_tuned 64 0 10 0x1700 0.177569 3.098391 4.412719 26108694 236459971 412754303 608168 7281 7284
ebbrt_tuned 64 1 10 0x1700 0.177355 3.098742 4.413375 26108911 236260539 412999759 606818 7271 7287
ebbrt_tuned 64 0 10 0x1500 0.174638 3.046155 4.083729 26124632 224156727 404751521 565336 6754 7476
ebbrt_tuned 64 1 10 0x1500 0.174394 3.045957 4.088414 26124920 223409419 403556344 563745 6732 7480
ebbrt_tuned 64 0 10 0x1300 0.139093 2.415353 3.152823 26321935 208316151 347604527 517725 6142 9085
ebbrt_tuned 64 1 10 0x1300 0.133128 2.310074 3.045682 26342779 204913881 336815715 507305 6008 9258
ebbrt_tuned 64 0 10 0x1100 0.116224 2.029977 2.527636 26420744 182279474 311157791 429039 5049 9996
ebbrt_tuned 64 1 10 0x1100 0.116416 2.029107 2.529635 26421003 182800272 311956306 425657 5041 9998
ebbrt_tuned 64 0 10 0xf00 0.160243 2.782737 3.197703 26145115 181651298 385202302 429756 5044 7859
ebbrt_tuned 64 1 10 0xf00 0.159713 2.800439 3.196848 26151083 181763429 384846037 427429 5046 7905
ebbrt_tuned 64 0 10 0xd00 0.175821 3.064773 3.333196 25801411 179847432 416745776 428482 5026 5198
ebbrt_tuned 64 1 10 0xd00 0.176222 3.062850 3.335607 25795976 179891934 416940859 428398 5025 5155
ebbrt_tuned 64 0 10 0xc00 0.158161 2.745640 2.946462 25782537 175313463 423720160 427965 5020 5040
ebbrt_tuned 64 1 10 0xc00 0.158391 2.746434 2.966468 25781539 175576328 424350185 426444 5022 5031
ebbrt_tuned 8192 0 10 0x1d00 0.225176 3.928855 6.279582 137699855 185550092 308610402 225407 15839 19721
ebbrt_tuned 8192 1 10 0x1d00 0.225124 3.928992 6.305997 137796786 185945682 308969306 224673 15812 19679
ebbrt_tuned 8192 0 10 0x1b00 0.226759 3.965311 6.003101 137691981 183900090 312648536 221936 15873 19824
ebbrt_tuned 8192 1 10 0x1b00 0.225542 3.947182 5.965241 137698779 183612663 311577160 216526 15802 19740
ebbrt_tuned 8192 0 10 0x1900 0.228232 3.999005 5.719509 137832771 182829469 322518338 221662 15945 19812
ebbrt_tuned 8192 1 10 0x1900 0.228516 4.002210 5.733762 137948908 183073890 322796477 223435 15919 19831
ebbrt_tuned 8192 0 10 0x1700 0.229327 4.016982 5.451696 137894425 183960816 333926155 253192 15395 19483
ebbrt_tuned 8192 1 10 0x1700 0.230013 4.018080 5.491158 137920736 184976085 336181746 250081 15445 19527
ebbrt_tuned 8192 0 10 0x1500 0.261207 4.562206 6.243400 136494060 378991727 632871350 1514203 11505 16874
ebbrt_tuned 8192 1 10 0x1500 0.261565 4.556026 6.240150 136495738 378725126 632737254 1508368 11464 16879
ebbrt_tuned 8192 0 10 0x1300 0.258708 4.506141 5.891596 136382855 378034694 645290803 1420353 10642 16397
ebbrt_tuned 8192 1 10 0x1300 0.256103 4.471760 5.843970 136386025 377537292 640775677 1415118 10712 16479
ebbrt_tuned 8192 0 10 0x1100 0.260587 4.542551 5.707973 137983264 411267754 703236167 1382134 10029 19712
ebbrt_tuned 8192 1 10 0x1100 0.261508 4.579724 5.729520 138027812 412861691 705716131 1384401 10024 19791
ebbrt_tuned 8192 0 10 0xf00 0.275651 4.821992 5.577927 137441927 331083755 685034259 1251788 8740 15339
ebbrt_tuned 8192 1 10 0xf00 0.273325 4.783278 5.535764 137136665 328464319 679565178 1268780 8679 15190
ebbrt_tuned 8192 0 10 0xd00 0.290338 5.062612 5.537229 136901859 302055277 698843653 1192641 7837 13658
ebbrt_tuned 8192 1 10 0xd00 0.290875 5.082709 5.539014 137025489 302880328 700499901 1196047 7904 13798
