oloop,timeout_us,work_type,fire_iter_type,fire_iter,dvfs,joules,time,instructions,ref_cycles,llc_miss,sleep_cnt_0,sleep_cnt_1
1000000,16,sum1,time_limit_sec,3,0x1d00,97.5191,3.00143,10935571761,8704050778,98,5995,2
1000000,16,sum1,time_limit_sec,3,0x1d00,97.5807,3.00237,10881568941,8706782462,98,5995,2
1000000,32,sum1,time_limit_sec,3,0x1d00,97.8157,3.00083,11169583981,8702304920,96,5997,2
1000000,32,sum1,time_limit_sec,3,0x1d00,97.8157,3.00083,11169583981,8702291696,98,5997,2
1000000,32,sum1,time_limit_sec,3,0x1d00,97.7837,3.00101,11169583981,8702802937,98,5997,2
1000000,64,sum1,time_limit_sec,3,0x1d00,97.4825,3.00018,10935571761,8700327178,145,5997,2
1000000,64,sum1,time_limit_sec,3,0x1d00,97.9434,3.00038,10872568471,8700907236,147,5997,2
1000000,64,sum1,time_limit_sec,3,0x1d00,97.4971,3.00018,10935571761,8700338372,147,5997,2
1000000,128,sum1,time_limit_sec,3,0x1d00,97.5412,3.00021,10872568471,8700228462,147,5997,2
1000000,128,sum1,time_limit_sec,3,0x1d00,97.5573,3.00081,10827566121,8701989197,147,5997,2
1000000,128,sum1,time_limit_sec,3,0x1d00,97.7257,3.00136,10791564241,8703568363,144,5997,2
1000000,256,sum1,time_limit_sec,3,0x1d00,97.4907,3.00193,10935571761,8704866258,147,5997,2
1000000,256,sum1,time_limit_sec,3,0x1d00,97.9281,3.00062,10872568471,8701062531,147,5997,2
1000000,256,sum1,time_limit_sec,3,0x1d00,97.5324,3.00147,10935571761,8703529677,147,5997,2
1,2,sum1,time_limit_sec,3,0x1900,83.3293,3,581538616,8619227228,80054250,5994,875660
1,2,sum1,time_limit_sec,3,0x1900,83.2811,3,582391138,8624089600,80142029,5997,876973
1,2,sum1,time_limit_sec,3,0x1900,83.261,3,581437333,8618790140,80054028,5997,875501
1,4,sum1,time_limit_sec,3,0x1900,81.4661,3,436345885,7256504845,60052938,5991,656402
1,4,sum1,time_limit_sec,3,0x1900,81.4375,3,436660012,7257795055,60098576,5994,656902
1,4,sum1,time_limit_sec,3,0x1900,81.4709,3,436224856,7256033508,60037118,5989,656231
1,8,sum1,time_limit_sec,3,0x1900,74.3755,3,189413077,4776998059,25884880,5965,282929
1,8,sum1,time_limit_sec,3,0x1900,74.3713,3.00001,189414240,4773577248,25878804,5976,282866
1,8,sum1,time_limit_sec,3,0x1900,74.4244,3,189399243,4774513600,25886547,5969,282950
1,16,sum1,time_limit_sec,3,0x1900,57.8224,3.00001,112163591,3571686313,15456250,5996,168922
1,16,sum1,time_limit_sec,3,0x1900,57.7697,3,112235303,3575528755,15466622,5996,169030
1,16,sum1,time_limit_sec,3,0x1900,57.5712,3.00001,112187495,3573382262,15459561,5997,168958
1,32,sum1,time_limit_sec,3,0x1900,53.236,3.00002,59432695,1916540487,8193859,5997,89508
1,32,sum1,time_limit_sec,3,0x1900,53.2355,3.00001,59432695,1916297815,8193719,5997,89508
1,32,sum1,time_limit_sec,3,0x1900,53.236,3.00002,59432031,1916643060,8193845,5997,89507
1,64,sum1,time_limit_sec,3,0x1900,52.7149,3.00005,30810654,482209042,5840,5997,46395
1,64,sum1,time_limit_sec,3,0x1900,52.7024,3.00006,30808903,482001460,5847,5999,46396
1,64,sum1,time_limit_sec,3,0x1900,52.7007,3.00003,30808098,481930381,5867,5999,46396
1,128,sum1,time_limit_sec,3,0x1900,52.6231,3.0001,15560887,243703849,5637,5999,23436
1,128,sum1,time_limit_sec,3,0x1900,52.6511,3.00001,15560223,243703617,5631,5999,23435
1,128,sum1,time_limit_sec,3,0x1900,52.6456,3.0001,15560887,243722148,5636,5999,23436
1,256,sum1,time_limit_sec,3,0x1900,52.6218,3.00019,9675711,156801405,5595,5999,11732
1,256,sum1,time_limit_sec,3,0x1900,52.6057,3.00013,9675711,156604234,5597,5999,11732
1,256,sum1,time_limit_sec,3,0x1900,52.6306,3.00023,9675711,156921494,5597,5999,11732
1000,2,sum1,time_limit_sec,3,0x1900,85.3572,3,9737187291,8699999304,97,5999,2
1000,2,sum1,time_limit_sec,3,0x1900,85.2899,3,9433910541,8700000986,97,5997,2
1000,2,sum1,time_limit_sec,3,0x1900,85.0664,3,9660073081,8699997187,98,5997,2
1000,4,sum1,time_limit_sec,3,0x1900,84.3005,3,4693345928,8700003364,44431205,5997,486025
1000,4,sum1,time_limit_sec,3,0x1900,84.3365,3,4693124113,8700002378,44450289,5997,485999
1000,4,sum1,time_limit_sec,3,0x1900,84.3198,3,4693510152,8700002610,44420385,5997,486039
1000,8,sum1,time_limit_sec,3,0x1900,78.8124,3,2481320801,6320276617,21732760,5963,237124
1000,8,sum1,time_limit_sec,3,0x1900,78.7848,3,2483341203,6319587838,21753250,5969,237352
1000,8,sum1,time_limit_sec,3,0x1900,78.7606,3,2482224622,6320248864,21740405,5981,237205
1000,16,sum1,time_limit_sec,3,0x1900,75.2007,3.00002,1589830416,4408230811,13940770,5981,152231
1000,16,sum1,time_limit_sec,3,0x1900,75.2309,3.00001,1589530102,4412735932,13933430,5975,152155
1000,16,sum1,time_limit_sec,3,0x1900,75.2639,3.00001,1589479061,4413137234,13926382,5967,152075
1000,32,sum1,time_limit_sec,3,0x1900,54.4948,3.00003,842061536,2934936387,7989805,5976,87217
1000,32,sum1,time_limit_sec,3,0x1900,54.3845,3.00003,842061536,2936013070,7989938,5984,87217
1000,32,sum1,time_limit_sec,3,0x1900,54.4723,3.00004,841868436,2931404709,7987994,5983,87197
1000,64,sum1,time_limit_sec,3,0x1900,53.0668,3.00004,448439754,1273974350,6108,5997,46445
1000,64,sum1,time_limit_sec,3,0x1900,53.0658,3.00006,448461479,1274115406,6300,5999,46447
1000,64,sum1,time_limit_sec,3,0x1900,53.077,3.00005,448438305,1273888278,6193,5999,46445
