sys i msg_size itr dvfs rapl time tput pk1j rx_bytes tx_bytes instructions cycles ref_cycles llc_miss c1 c1e c3 c6 c7 num_interrupts
linux_tuned 2 64 22 0xd00 135 0.228 21.45 4.25 650272 649936 105403284 178138822 397301972 127636 21255517288 2437416478 16878260 0 3626531993 9998
linux_tuned 0 64 24 0xd00 135 0.247 19.75 4.59 648050 649870 106590521 179262360 399940682 129974 527470369 8307162 388853 0 33601249 9984
linux_tuned 1 64 24 0xd00 135 0.246 19.82 4.57 649872 650200 106501042 178934610 399173864 128702 11921455980 1341243764 9654470 0 2029485738 10003
linux_tuned 2 64 24 0xd00 135 0.247 19.74 4.61 648180 649870 105753207 178865955 399063664 129539 23257630084 2662121460 18452583 0 3961217289 9986
linux_tuned 0 64 26 0xd00 135 0.267 18.31 4.96 649808 650068 107056406 181178324 404179380 129660 613997507 8988318 437157 0 36585235 10000
linux_tuned 1 64 26 0xd00 135 0.268 18.25 4.94 648700 650068 108606496 183224805 408691751 131734 13121056043 1470920571 10610955 0 2226079179 9992
linux_tuned 2 64 26 0xd00 135 0.267 18.29 4.93 649220 649870 108172849 181697342 405354982 130919 25562054798 2920530860 20265180 0 4346119440 9993
linux_tuned 0 64 28 0xd00 135 0.289 16.89 5.36 648050 649870 106725342 180289572 402159878 130130 715995037 10798974 494388 0 40221756 9984
linux_tuned 1 64 28 0xd00 135 0.289 16.9 5.37 648570 650068 102491285 176292918 393061070 123903 13520519655 1511423252 10912156 0 2286264852 9991
linux_tuned 2 64 28 0xd00 135 0.289 16.9 5.33 648310 649870 106353734 178923345 399198166 130064 27380998379 3123758676 21690672 0 4647531442 9986
linux_tuned 0 64 30 0xd00 135 0.308 15.84 5.69 648440 649870 108563599 183580555 409499372 132244 817833294 15712800 555000 0 43820700 9987
linux_tuned 1 64 30 0xd00 135 0.308 15.87 5.68 650010 649870 107561671 180577869 402838681 130193 15031249938 1679534406 12112848 0 2534194971 9995
linux_tuned 2 64 30 0xd00 135 0.308 15.87 5.68 649610 650002 106448330 180075268 401646984 128411 29003531672 3307642296 22963752 0 4915542996 9998
linux_tuned 0 64 32 0xd00 135 0.329 14.86 6.09 648050 649870 107693655 181928944 405590491 129494 906744283 27000935 607352 0 46736084 9983
linux_tuned 1 64 32 0xd00 135 0.328 14.87 6.07 649480 649870 106621845 179586851 400427563 129459 15885865807 1780363089 12791684 0 2671287858 9993
linux_tuned 2 64 32 0xd00 135 0.329 14.85 6.04 648180 649870 107615255 182007371 406067396 130760 31219057817 3565647991 24705828 0 5283940280 9985
linux_tuned 0 64 34 0xd00 135 0.349 14.0 6.42 648050 649870 107142224 182267976 408153714 129774 1006678293 45395552 671664 0 50284752 9980
linux_tuned 1 64 34 0xd00 135 0.349 13.99 6.39 648180 649870 107508673 182515328 409446853 129921 17146603939 1933735294 13800824 0 2876746917 9978
linux_tuned 2 64 34 0xd00 135 0.349 13.99 6.44 647790 649870 106882160 181370090 406300991 127835 33138517820 3796715192 26218440 0 5602240510 9973
linux_tuned 0 64 36 0xd00 135 0.362 13.48 6.65 648440 649870 106855967 185064204 419807045 130166 1064107517 71450144 711039 0 51938089 9786
linux_tuned 1 64 36 0xd00 135 0.362 13.5 6.63 648960 649870 107057800 185471127 420770048 129850 17488233356 1993371409 14073976 0 2928626267 9773
linux_tuned 2 64 36 0xd00 135 0.362 13.48 6.65 650532 650134 106499715 185717127 420802267 128895 33768218099 3889704280 26714622 0 5703171463 9810
linux_tuned 0 64 38 0xd00 135 0.378 12.93 6.96 648830 650332 106276254 186004200 425922420 127993 1153317151 110579641 776128 0 55476138 9685
linux_tuned 1 64 38 0xd00 135 0.382 12.79 7.0 648570 650266 105470942 185588819 425316059 127942 18487326660 2138835110 14879286 0 3091523802 9789
linux_tuned 2 64 38 0xd00 135 0.381 12.83 6.98 650532 650926 106294222 186569205 427449676 127190 36076248342 4187440363 28545244 0 6088531904 9778
linux_tuned 0 64 40 0xd00 135 0.403 12.11 7.37 649616 649870 106575068 188605370 434431281 127809 1236418926 163308926 845439 0 59088528 9826
linux_tuned 1 64 40 0xd00 135 0.403 12.11 7.35 648310 649870 106336015 187813765 432886915 127558 19429037647 2292051831 15649160 0 3245911360 9813
linux_tuned 2 64 40 0xd00 135 0.406 12.03 7.41 648050 649870 107368536 189096172 435842508 129187 38279493829 4488055708 30301772 0 6457238828 9874
linux_tuned 0 64 2 0xf00 135 0.159 30.67 3.19 649676 651124 107078742 182151494 352365196 135530 40964028 4598804 55056 0 9187120 15018
linux_tuned 1 64 2 0xf00 135 0.161 30.42 3.21 649936 650132 112084674 191797649 370911305 155747 7465453454 872872270 6099095 0 1309197259 15002
linux_tuned 2 64 2 0xf00 135 0.163 29.96 3.27 650272 649870 109428047 191186649 370132307 150800 14815363411 1729156044 11807950 0 2562182288 15006
linux_tuned 0 64 4 0xf00 135 0.172 28.4 3.44 649946 649870 110968029 203609124 395491299 191786 62821621 5256471 127178 0 19563681 15003
linux_tuned 1 64 4 0xf00 135 0.178 27.48 3.56 649090 649870 113381251 212981869 414478904 207038 8206514335 957656075 6747106 0 1446423369 14990
linux_tuned 2 64 4 0xf00 135 0.176 27.71 3.52 650936 649870 115767008 218687250 425853313 212559 16566661998 1931624419 13246922 0 2871501652 15017
linux_tuned 0 64 6 0xf00 135 0.193 25.31 3.8 649676 649870 105722950 178188164 344515447 128343 103412959 6075030 162800 0 22949990 9997
