sys i msg_size itr dvfs rapl time tput joules rx_bytes tx_bytes instructions cycles ref_cycles llc_miss c1 c1e c3 c6 c7 num_interrupts
ebbrt_tuned 3 524288 6 0x1b00 135 4.723 8468.75 125.01 2662213587 0 2116442323 0 0 3153570 0 0 0 0 0 572472
ebbrt_tuned 4 524288 6 0x1b00 135 4.721 8472.39 124.97 2662235123 0 2121701910 0 0 3159816 0 0 0 0 0 572437
ebbrt_tuned 5 524288 6 0x1b00 135 4.723 8470.01 125.09 2662229961 0 2117160851 0 0 3153146 0 0 0 0 0 572808
ebbrt_tuned 6 524288 6 0x1b00 135 4.7219999999999995 8470.29 125.1 2662240551 0 2140104972 0 0 3198134 0 0 0 0 0 572143
ebbrt_tuned 7 524288 6 0x1b00 135 4.723 8468.3 125.1 2662234117 0 2104224208 0 0 3137119 0 0 0 0 0 572838
ebbrt_tuned 8 524288 6 0x1b00 135 4.723 8469.17 125.12 2662192141 0 2122737909 0 0 3167209 0 0 0 0 0 572401
ebbrt_tuned 9 524288 6 0x1b00 135 4.725 8466.29 125.12 2662207899 0 2119103863 0 0 3161432 0 0 0 0 0 572341
ebbrt_tuned 0 524288 6 0x1a00 135 4.731 8454.94 122.0 2662255069 0 2125898220 0 0 3177260 0 0 0 0 0 572246
ebbrt_tuned 1 524288 6 0x1a00 135 4.728 8460.77 121.94 2662229283 0 2124325548 0 0 3168198 0 0 0 0 0 572404
ebbrt_tuned 2 524288 6 0x1a00 135 4.73 8457.5 121.97 2662242615 0 2126698886 0 0 3176280 0 0 0 0 0 572852
ebbrt_tuned 3 524288 6 0x1a00 135 4.729 8457.62 122.0 2662244989 0 2113931010 0 0 3148434 0 0 0 0 0 573236
ebbrt_tuned 4 524288 6 0x1a00 135 4.729 8458.21 122.03 2662191764 0 2118984628 0 0 3163836 0 0 0 0 0 572864
ebbrt_tuned 5 524288 6 0x1a00 135 4.729 8459.06 121.89 2662253441 0 2114531773 0 0 3155019 0 0 0 0 0 572879
ebbrt_tuned 6 524288 6 0x1a00 135 4.727 8461.89 121.94 2662170274 0 2127507845 0 0 3178591 0 0 0 0 0 572671
ebbrt_tuned 7 524288 6 0x1a00 135 4.728 8459.6 122.0 2662198557 0 2122020212 0 0 3158408 0 0 0 0 0 571909
ebbrt_tuned 8 524288 6 0x1a00 135 4.729 8457.95 122.07 2662252057 0 2113149207 0 0 3156241 0 0 0 0 0 572043
ebbrt_tuned 9 524288 6 0x1a00 135 4.729 8458.27 122.09 2662185588 0 2120055148 0 0 3166636 0 0 0 0 0 572838
ebbrt_tuned 0 524288 6 0x1900 135 4.735 8447.98 118.85 2662270285 0 2128150788 0 0 3189026 0 0 0 0 0 570997
ebbrt_tuned 1 524288 6 0x1900 135 4.735 8448.3 118.86 2662277157 0 2124939800 0 0 3177450 0 0 0 0 0 571656
