sys i itr dvfs rapl read_5th read_10th read_50th read_90th read_95th read_99th measure_QPS target_QPS time joules rx_desc rx_bytes tx_desc tx_bytes instructions cycles ref_cycles llc_miss c1 c1e c3 c6 c7 num_interrupts
ebbrt_tuned 6 50 0x1700 55 50.7 55.2 86.6 178.3 214.9 275.4 100108.3 100000 20 1580.92 2276626 244977552 4003740 156137160 150894169829 175485262910 237476940841 332070992 0 0 0 0 361438 3350183
ebbrt_tuned 7 50 0x1700 55 50.1 54.4 85.6 177.1 213.4 276.8 99958.0 100000 20 1584.04 2277790 244893232 3997686 155901424 150837926376 175648380106 237596516570 330729089 0 0 0 0 358901 3341441
ebbrt_tuned 4 50 0x1800 95 52.0 58.0 94.8 203.4 240.0 332.0 199964.7 200000 20 1764.5 3918902 435838811 7409666 288930000 278583615098 297506119688 363212816085 618054914 0 0 0 0 292256 4302411
ebbrt_tuned 5 50 0x1800 95 51.8 57.7 95.2 206.4 243.5 335.8 199916.3 200000 20 1899.16 4227049 470134098 7992740 311658960 300942834095 319673745406 390179891725 662424776 0 0 0 0 316162 4641283
ebbrt_tuned 6 50 0x1800 95 50.1 56.3 91.9 200.5 237.3 330.7 199928.5 200000 20 1904.52 4227917 470198680 7993484 311692132 300807229528 321145284751 392028502467 665937376 0 0 0 0 310581 4627805
ebbrt_tuned 5 50 0x1900 95 52.1 58.2 94.4 199.0 234.6 320.7 199919.9 200000 20 1988.93 4222350 469811982 7993382 311691356 300796626824 324442864723 381325670972 673773527 0 0 0 0 318834 4647936
ebbrt_tuned 6 50 0x1900 95 50.5 56.6 92.4 196.9 231.4 318.1 200074.2 200000 20 1991.33 4228147 470353606 7999442 311926338 301176962107 324842308512 381537677357 666085311 0 0 0 0 318529 4649263
ebbrt_tuned 7 50 0x1900 95 50.4 56.5 92.0 196.9 230.7 322.2 200089.5 200000 20 1992.15 4226426 470260886 7999630 311932532 300822471279 323959414639 380629295741 667580191 0 0 0 0 319275 4648491
ebbrt_tuned 4 100 0x1900 135 54.9 62.1 114.6 194.6 227.9 292.5 100186.9 100000 20 1701.29 2249840 243474179 4006858 156259034 149418036052 171977144156 221523413890 314186720 0 0 0 0 390059 2455258
ebbrt_tuned 5 100 0x1900 135 54.2 61.5 113.8 193.6 228.7 293.1 100125.2 100000 20 1700.3 2246485 243175541 4003945 156140370 149203981439 172915579313 222565978071 318042295 0 0 0 0 386998 2449326
ebbrt_tuned 6 100 0x1900 135 54.1 61.8 115.1 196.1 231.4 296.7 100118.9 100000 20 1700.88 2249309 243355362 4004019 156146994 149306966227 173335414064 222773490094 318029284 0 0 0 0 388240 2449420
ebbrt_tuned 7 100 0x1900 135 53.6 61.2 113.3 193.7 227.7 293.7 100010.7 100000 20 1701.94 2254005 243492919 3999750 155981468 149256017812 173006127496 222508827626 317760545 0 0 0 0 388897 2451602
ebbrt_tuned 4 100 0x1900 95 54.8 62.3 115.0 195.9 230.3 296.8 99991.3 100000 20 1704.79 2245417 242991357 3998943 155950202 149108922284 174162744694 223614821245 319930314 0 0 0 0 388042 2450159
ebbrt_tuned 5 100 0x1900 95 54.3 61.6 113.4 193.1 229.2 293.4 99921.1 100000 20 1700.84 2252788 243346267 3996114 155839316 149467267408 173239746999 222636578484 319126256 0 0 0 0 388405 2450022
ebbrt_tuned 6 100 0x1900 95 54.6 61.9 114.2 195.9 230.6 295.4 99928.1 100000 20 1702.47 2250869 243228624 3996507 155854848 149258017646 173853371783 223145881646 320821637 0 0 0 0 385885 2448965
ebbrt_tuned 7 100 0x1900 95 55.6 63.3 116.0 199.0 234.4 296.7 99932.3 100000 20 1698.52 2251191 243257866 3996462 155852298 149124128552 173448094945 222747527322 320047735 0 0 0 0 388560 2450848
ebbrt_tuned 4 50 0x1a00 95 49.3 54.0 84.4 164.8 198.1 254.9 100095.1 100000 20 1785.95 2290355 245815102 4002875 156100276 150009138359 180171868740 223652996207 328709598 0 0 0 0 366061 3359888
ebbrt_tuned 5 50 0x1a00 95 48.4 53.1 83.2 162.4 195.4 250.5 99959.8 100000 20 1780.1 2282684 245189464 3997699 155901460 150050911250 179386383937 222763238855 326763794 0 0 0 0 367031 3356105
ebbrt_tuned 6 50 0x1a00 95 49.5 54.1 83.8 162.0 195.7 250.9 99888.2 100000 20 1776.47 2286216 245343559 3994919 155793156 149781892423 178783183940 221986746658 324207414 0 0 0 0 366705 3355875
ebbrt_tuned 7 50 0x1a00 95 49.2 54.0 84.2 164.9 197.4 256.5 100001.4 100000 20 1782.48 2284779 245356000 3999250 155961634 150229684876 179979344072 223351919657 329034462 0 0 0 0 365223 3354228
ebbrt_tuned 4 50 0x1a00 75 50.1 56.2 90.8 189.8 222.9 303.0 200112.7 200000 20 2073.35 4225202 470189988 8000678 311971680 301345499374 328941900547 372868467614 678142565 0 0 0 0 322558 4660433
ebbrt_tuned 5 50 0x1a00 75 50.6 56.6 91.1 192.2 226.1 306.7 199981.3 200000 20 2071.51 4220981 469828564 7995534 311772796 300621771819 328042875171 371922464269 676154420 0 0 0 0 322555 4654733
ebbrt_tuned 6 50 0x1a00 75 49.9 55.7 90.1 190.9 223.7 304.5 199907.9 200000 20 2072.51 4221694 469771628 7992492 311653198 300840400930 328329526587 371935679888 666022330 0 0 0 0 324472 4660145
ebbrt_tuned 7 50 0x1a00 75 50.9 56.7 91.4 191.3 226.1 309.1 199894.0 200000 20 2077.76 4219806 469642835 7991913 311630356 301790622760 331010884226 375007223994 679503175 0 0 0 0 323035 4658424
ebbrt_tuned 4 300 0x1a00 135 79.0 101.4 233.7 364.6 404.3 490.1 199919.1 200000 20 2023.74 4373193 478892873 7992921 311668322 300646970677 309167699223 358497925702 632983299 0 0 0 0 672278 976522
ebbrt_tuned 5 300 0x1a00 135 77.3 98.8 230.7 361.4 400.7 484.5 200022.9 200000 20 2028.92 4375706 479130973 7997306 311841984 300822607276 311447289839 360393142083 638560360 0 0 0 0 674077 976522
ebbrt_tuned 6 300 0x1a00 135 77.6 99.3 231.3 363.4 402.9 489.7 199950.9 200000 20 2028.06 4371748 478812152 7993950 311705694 301311314650 311657705939 360188457763 642652417 0 0 0 0 666836 976514
ebbrt_tuned 7 300 0x1a00 135 79.4 101.3 234.6 365.7 406.7 491.2 200107.4 200000 20 2030.69 4376562 479258697 8000529 311968900 301507285126 312683767782 360513192513 646543423 0 0 0 0 673823 976513
ebbrt_tuned 4 50 0x1b00 75 49.3 54.1 84.2 161.5 193.7 248.7 100108.3 100000 20 1857.88 2290169 245820655 4003603 156130078 150628239188 182634823361 220641763894 331568592 0 0 0 0 366509 3361027
ebbrt_tuned 5 50 0x1b00 75 48.2 53.0 83.0 160.8 194.4 254.0 100083.0 100000 20 1858.48 2286723 245566614 4002602 156093046 150692390612 182867262060 220741046322 330558066 0 0 0 0 365543 3355757
ebbrt_tuned 6 50 0x1b00 75 49.2 54.2 84.1 163.8 197.0 250.0 100024.3 100000 20 1856.45 2289948 245728510 4000201 155996664 150624157982 182274075828 219948327697 328627376 0 0 0 0 367627 3360687
ebbrt_tuned 7 50 0x1b00 75 47.8 52.4 82.2 158.7 190.8 245.7 100168.8 100000 20 1789.28 2178455 233799252 3810726 148610664 143729172528 174422775098 210401242917 316929614 0 0 0 0 347689 3194343
ebbrt_tuned 4 50 0x1b00 95 50.1 56.2 90.5 186.7 220.1 297.5 200164.0 200000 20 2167.17 4224094 470169679 8002835 312055958 301762097006 333049138895 364735845915 685847314 0 0 0 0 326224 4667557
ebbrt_tuned 5 50 0x1b00 95 50.1 55.9 90.2 187.0 220.7 298.7 199941.0 200000 20 2164.92 4219719 469683675 7994098 311719958 301904951327 333778285931 365442632639 682821736 0 0 0 0 325675 4660676
ebbrt_tuned 6 50 0x1b00 95 49.5 55.4 88.9 183.6 215.4 296.7 200134.1 200000 20 2168.77 4226449 470346905 8001780 312017198 301874605224 334381939609 366076852605 688825727 0 0 0 0 324862 4662928
ebbrt_tuned 7 50 0x1b00 95 50.4 56.2 90.7 186.9 219.2 298.9 200123.4 200000 20 2009.71 3955586 440252873 7498554 292396750 283229856055 313587292815 343240096484 644427148 0 0 0 0 305731 4370557
ebbrt_tuned 4 100 0x1b00 95 52.1 58.6 104.2 179.2 207.8 271.9 50019.4 50000 20 1646.08 1536012 146331587 2000653 78023930 75669018587 103021658208 141135510924 167667044 0 0 0 0 414704 1855303
ebbrt_tuned 5 100 0x1b00 95 51.8 58.0 103.4 178.9 206.8 271.3 50044.8 50000 20 1643.51 1531385 146058641 2001576 78060062 75880265204 103137810402 141199463435 169205539 0 0 0 0 415634 1858906
ebbrt_tuned 6 100 0x1b00 95 51.0 57.3 102.1 177.0 204.3 268.5 49975.3 50000 20 1644.48 1538069 146395757 1998889 77955066 75711341245 103053606535 140937859829 167425092 0 0 0 0 415001 1857769
ebbrt_tuned 7 100 0x1b00 95 51.6 58.1 103.1 179.6 207.5 270.1 49947.4 50000 20 1646.62 1529422 145840734 1997747 77910516 75762909357 103341531681 141250140326 167971466 0 0 0 0 412480 1853046
ebbrt_tuned 4 200 0x1b00 75 65.9 79.8 172.7 267.9 298.9 368.2 100139.7 100000 20 1833.96 2216398 241418015 4004982 156185808 150056341386 174832998363 212250729488 325819749 0 0 0 0 499568 1430633
ebbrt_tuned 5 200 0x1b00 75 66.5 80.5 173.0 268.9 301.2 371.8 100009.8 100000 20 1836.86 2215154 241203534 3999691 155978402 149797982365 175113538354 212493996945 327166309 0 0 0 0 497894 1430085
ebbrt_tuned 6 200 0x1b00 75 65.4 79.1 172.3 268.3 299.9 369.6 100012.4 100000 20 1838.47 2214534 241200339 3999654 155977208 149830460222 175363317308 213054958677 328388760 0 0 0 0 501251 1430848
ebbrt_tuned 7 200 0x1b00 75 66.1 80.2 173.6 269.4 301.2 368.8 99968.3 100000 20 1834.73 2214553 241098052 3998046 155915008 149688080933 174794016922 212318444285 328658653 0 0 0 0 498792 1429789
ebbrt_tuned 4 50 0x1c00 95 49.8 55.8 89.3 181.9 212.3 287.9 200007.1 200000 20 2261.21 4218189 469664618 7996215 311796592 301260189572 335153293160 355460227467 678831844 0 0 0 0 330997 4672849
ebbrt_tuned 5 50 0x1c00 95 50.3 56.1 89.8 182.0 213.4 286.5 200094.5 200000 20 2258.17 4219042 469828159 8000229 311957212 301576835078 333102658469 353245528729 670116805 0 0 0 0 331400 4674646
ebbrt_tuned 6 50 0x1c00 95 50.1 56.0 89.6 182.9 214.0 289.9 199889.0 200000 20 2260.17 4214631 469333310 7991909 311630594 301525863499 334063309466 354238478434 675510869 0 0 0 0 331545 4673169
ebbrt_tuned 7 50 0x1c00 95 49.2 55.0 88.7 180.8 211.3 285.8 199927.4 200000 20 2256.66 4214319 469353039 7993255 311685130 301482790805 333852942743 354051201596 675163273 0 0 0 0 330471 4671489
ebbrt_tuned 4 50 0x1d00 95 47.2 51.8 81.6 153.8 185.1 240.3 100000.1 100000 20 2020.39 2289347 245629730 3999308 155963354 151047300389 188047094794 215763069476 335718903 0 0 0 0 367670 3356499
ebbrt_tuned 5 50 0x1d00 95 48.4 53.3 82.7 157.2 188.7 242.7 100030.5 100000 20 2018.39 2290915 245738834 4000328 156002130 151016221425 187447762378 215025036006 334198679 0 0 0 0 367524 3358018
ebbrt_tuned 6 50 0x1d00 95 49.3 54.3 83.9 158.2 190.3 245.2 99982.6 100000 20 2019.37 2290890 245710571 3998676 155939432 151373524824 188045437873 215812536603 339416549 0 0 0 0 367232 3355144
ebbrt_tuned 4 50 0x1d00 135 48.5 54.5 87.0 177.0 206.7 276.4 200131.9 200000 20 2361.02 4218426 469807702 8001529 312005610 302385935560 339720938775 349011194214 682678065 0 0 0 0 333254 4681500
ebbrt_tuned 5 50 0x1d00 135 49.3 55.2 88.0 178.6 207.5 280.6 200046.5 200000 20 2360.81 4217452 469700708 7998177 311877046 301413340164 339593417921 348966998040 684780104 0 0 0 0 333393 4684985
ebbrt_tuned 6 50 0x1d00 135 48.0 53.4 84.7 163.7 192.7 255.4 199979.4 200000 20 2303.69 4211308 469246701 7995424 311766014 294335831394 316348680537 329139692907 603190543 0 0 0 0 341968 4704643
ebbrt_tuned 4 100 0x1d00 55 53.7 61.1 113.4 190.5 223.8 293.3 99920.4 100000 20 1969.23 2249545 243148696 3996164 155841246 150758322123 182735113007 215488228878 333563542 0 0 0 0 389777 2449631
ebbrt_tuned 5 100 0x1d00 55 52.9 60.3 111.3 183.3 210.4 267.1 100024.6 100000 20 1948.54 2252363 243417285 4000036 155990320 147676059014 173251198522 206410140711 296968784 0 0 0 0 394805 2457529
ebbrt_tuned 6 100 0x1d00 55 52.7 60.0 111.9 184.2 214.1 276.1 99915.7 100000 20 1959.19 2255769 243543796 3995914 155831852 148172001944 175415173333 209868298607 308956050 0 0 0 0 393480 2457737
ebbrt_tuned 7 100 0x1d00 55 53.1 60.3 112.5 186.0 217.2 285.8 100052.9 100000 20 1956.75 2250632 243396857 4001349 156043716 148413593130 175805555343 210463955098 310981393 0 0 0 0 392740 2457658
ebbrt_tuned 0 50 0x1400 135 54.2 61.6 107.3 253.2 307.1 438.2 199698.0 200000 20 1619.3 4250429 471256757 7984396 311340852 302030453410 314969126265 457689613369 696894457 0 0 0 0 277782 4554590
ebbrt_tuned 1 50 0x1400 135 55.3 62.8 109.6 260.3 316.3 447.8 199927.3 200000 20 1622.94 4255879 471825328 7993643 311702152 302473730307 316554774632 460032548338 706208077 0 0 0 0 275635 4552256
ebbrt_tuned 2 50 0x1400 135 55.3 62.7 107.5 255.0 305.1 437.9 200097.0 200000 20 1620.46 4259124 472212160 8000045 311951240 302389039933 316067020927 459250092465 696329976 0 0 0 0 277255 4555408
